timestamp,region_name,service_category,actual_usage,allocated_capacity,operational_cost,availability_ratio,net_customer_change,is_weekend,business_confidence_index,cloud_adoption_index
2024-04-22,us-west,compute,1102.04,1074.89,145.18,0.9495,10.0,0,53.759873617693515,0.531
2024-03-04,india-south,compute,699.92,840.0,59.72,0.9941,10.0,0,57.804107424960506,0.517
2024-10-19,us-west,compute,901.95,1008.38,103.55,0.9483,-12.0,1,53.00157977883095,0.58
2025-05-28,us-east,storage,,772.85,99.17,0.9620000000000001,-1.0,0,49.58925750394944,0.64
2024-06-23,india-west,compute,568.93,566.72,46.16,,4.0,1,54.12322274881517,0.548
2024-11-28,india-west,compute,852.08,947.89,66.54,0.9706,14.0,0,67.34597156398107,0.591
2024-05-17,India South,storage,503.1,592.59,40.89,0.9584999999999999,5.0,0,63.12796208530806,0.537
2025-04-04,us-west,storage,623.74,596.18,74.28,0.9941,1.0,0,58.43601895734598,0.626
2024-12-12,india-west,compute,553.57,662.24,44.69,0.9987,9.0,0,62.52764612954186,0.595
2025-06-14,india-west,storage,476.15,454.17,38.51,0.9653,-6.0,1,61.51658767772511,0.645
2024-06-28,us-west,compute,1148.8,1168.21,143.71,0.9817,10.0,0,64.51816745655609,0.549
2025-10-25,india-south,compute,838.36,852.84,67.1,1.0,-10.0,1,56.635071090047404,0.681
2024-05-14,india-west,storage,431.91,,37.29,1.0,14.0,0,48.54660347551342,0.537
2025-05-10,india-south,storage,459.51,558.02,37.27,0.9763,5.0,1,54.78672985781991,0.635
2025-03-11,india-west,compute,745.56,834.69,61.71,0.9833,0.0,0,59.05213270142181,0.619
2025-03-12,us-west,storage,854.45,813.4,104.74,0.9908,17.0,0,52.812006319115326,0.619
2025-11-20,india-south,compute,,1227.84,87.82,0.978,-15.0,0,54.78672985781991,0.689
2024-06-27,us-east,compute,1134.04,1169.52,133.41,0.9581999999999999,-2.0,0,55.86097946287519,0.549
2024-08-01,us-west,compute,1060.09,1235.22,136.77,0.9743,,0,50.995260663507096,0.558
2024-02-01,india-south,storage,574.32,591.82,50.09,1.0,17.0,0,57.01421800947867,0.508
2024-06-10,india-west,compute,685.74,846.5,58.78,1.0,14.0,0,59.63665086887835,0.544
2024-05-17,us-east,storage,801.41,847.36,100.71,0.9196,6.0,0,56.95102685624011,0.537
2024-11-05,india-west,storage,586.39,584.15,45.92,0.9808,-5.0,0,56.129541864139014,0.585
2025-09-06,india-west,storage,351.87,369.88,26.99,,0.0,1,44.83412322274882,0.668
2025-07-27,india-west,compute,681.52,657.17,52.37,0.975,2.0,1,48.48341232227487,0.657
2025-12-14,india-west,compute,804.99,962.71,66.84,0.9697,7.0,1,56.31911532385466,0.695
2025-02-20,us-west,compute,1273.84,1329.73,154.34,0.9903,7.0,0,56.20853080568719,0.614
2025-02-20,India South,compute,1258.41,1200.4,164.86,0.9372,3.0,0,53.380726698262244,0.614
2025-12-28,us-west,storage,688.03,782.84,88.26,1.0,17.0,1,55.76619273301737,0.699
2025-09-09,india-south,storage,482.51,595.93,37.22,0.966,11.0,0,43.507109004739334,0.669
2024-02-03,us-west,storage,715.34,880.36,89.1,0.9641,0.0,1,59.3522906793049,0.509
2024-04-10,us-east,storage,615.96,585.75,77.09,1.0,0.0,0,47.48815165876776,0.527
2024-11-23,india-west,storage,319.07,397.74,27.11,0.9848,1.0,1,64.72353870458136,0.589
2025-06-22,india-west,compute,761.64,872.47,64.06,0.9958,-6.0,1,54.47077409162717,0.647
2025-05-08,us-east,compute,1375.63,1593.87,174.12,0.9786,23.0,0,68.8783570300158,0.635
2025-12-06,us-west,compute,1162.3,1122.42,140.8,0.9823999999999999,2.0,1,65.03949447077409,0.693
2025-04-29,us-west,storage,815.28,846.67,93.07,0.9631000000000001,7.0,0,51.500789889415486,0.632
2024-11-21,india-south,storage,428.07,432.65,33.95,0.9967,2.0,0,56.91943127962085,0.589
2024-03-14,india-west,storage,585.61,683.18,45.46,1.0,,0,66.93522906793049,0.52
2024-03-17,india-west,storage,353.81,394.22,29.48,0.978,16.0,1,52.92259083728277,0.521
2024-11-28,india-west,storage,401.73,450.03,34.01,0.9986,2.0,0,47.34597156398103,0.591
2025-09-23,india-west,storage,491.63,,42.6,0.9849,4.0,0,57.59873617693523,0.673
2024-11-16,india-south,compute,728.29,740.39,63.15,0.9670000000000001,8.0,1,58.341232227488156,0.588
2024-03-24,india-south,compute,806.94,814.54,65.14,,3.0,1,55.21327014218009,0.523
2024-10-05,us-west,compute,1017.82,1168.87,127.98,0.9623,3.0,1,57.78830963665086,0.576
2025-02-24,us-east,storage,778.97,752.65,95.21,0.9997,,0,66.4296998420221,0.615
2024-12-03,us-east,compute,1267.46,1337.24,146.39,0.9612,16.0,0,61.500789889415486,0.592
2025-08-23,us-west,compute,,1110.68,126.03,0.9873999999999999,6.0,1,60.03159557661927,0.664
2025-05-28,us-west,compute,1160.77,1416.22,142.71,1.0,-3.0,0,50.26856240126382,0.64
2025-02-17,india-south,compute,942.43,940.31,75.24,0.9731000000000001,5.0,0,65.02369668246448,0.613
2025-02-21,india-south,storage,544.45,646.06,43.82,0.9686,-7.0,0,56.16113744075828,0.614
2025-04-26,india-west,compute,763.98,778.49,65.45,0.963,2.0,1,50.96366508688783,0.632
2024-11-17,us-east,compute,1216.62,,157.8,0.9582999999999999,8.0,1,55.89257503949448,0.588
2024-08-22,india-south,storage,623.27,675.63,48.72,0.9738,-5.0,0,54.48657187993682,0.564
2025-12-23,us-east,compute,1256.9,,154.93,0.9763,0.0,0,48.609794628751985,0.698
2025-08-08,india-west,storage,430.82,413.15,32.99,1.0,7.0,0,63.3649289099526,0.66
2025-10-29,india-west,storage,500.22,593.39,40.7,0.9968,14.0,0,65.89257503949449,0.682
2024-01-22,us-west,compute,1078.13,1137.24,136.59,0.9411,28.0,0,57.50394944707742,0.506
2025-10-16,us-west,compute,1275.28,1232.4,,0.9756,6.0,0,58.4518167456556,0.679
2024-11-06,US-EAST,compute,1213.06,,146.55,0.9749,-1.0,0,52.66982622432859,0.585
2024-10-25,us-east,storage,669.05,830.81,80.61,0.9362,1.0,0,58.104265402843595,0.582
2024-09-01,us-west,compute,1228.29,1353.02,158.92,0.9959,12.0,1,52.32227488151659,0.567
2024-08-10,india-west,compute,652.59,798.35,50.09,0.9817,,1,60.03159557661927,0.561
2024-04-15,india-west,compute,642.88,652.05,56.51,0.9847,15.0,0,49.30489731437599,0.529
2025-09-10,us-east,compute,1274.71,1358.22,164.51,1.0,0.0,0,54.407582938388614,0.669
2024-07-20,us-east,storage,572.63,681.6,66.36,0.9573999999999999,29.0,1,45.987361769352276,0.555
2024-08-28,us-east,storage,783.59,785.41,95.98,0.9847,-2.0,0,56.85624012638232,0.566
2024-07-17,india-west,compute,744.27,,63.36,0.9734999999999999,-16.0,0,53.28593996840442,0.554
2024-09-14,india-west,compute,701.92,874.64,59.3,0.9764,-2.0,1,51.83254344391784,0.57
2024-03-22,india-west,compute,464.32,501.38,37.69,0.9789,0.0,0,64.77093206951027,0.522
2024-05-10,us-west,storage,658.25,752.82,,0.9873999999999999,8.0,0,38.862559241706165,0.536
2024-07-28,india-south,compute,938.48,954.01,80.39,0.987,3.0,1,58.12006319115324,0.557
2025-01-19,us-west,storage,604.47,596.77,79.18,1.0,-4.0,1,52.52764612954186,0.605
2024-03-20,us-west,storage,777.03,858.7,91.33,0.9940000000000001,17.0,0,52.35387045813585,0.522
2025-01-21,us-east,compute,1200.1,1490.06,155.37,0.9768000000000001,4.0,0,53.917851500789894,0.606
2025-08-01,india-west,storage,491.36,522.85,41.39,0.9823000000000001,0.0,0,52.575039494470765,0.658
2024-03-15,india-west,compute,693.79,672.39,55.14,0.9743999999999999,9.0,0,60.14218009478674,0.52
2025-09-07,us-east,compute,1043.46,1289.66,122.34,0.9967,,1,58.53080568720378,0.668
2024-06-18,india-south,storage,573.99,713.02,50.07,0.9641,16.0,0,55.86097946287519,0.546
2024-01-07,india-west,compute,513.71,504.85,44.92,0.9592,,1,47.17219589257503,0.502
2024-07-07,India South,compute,1151.32,1138.55,136.57,,-6.0,1,52.575039494470765,0.551
2024-06-15,india-west,compute,649.58,641.2,54.37,1.0,17.0,1,61.32701421800948,0.545
2025-03-01,us-west,compute,1050.63,1109.9,137.14,0.9884999999999999,21.0,1,56.5560821484992,0.616
2025-10-15,india-west,storage,516.16,,41.01,0.9649,4.0,0,49.936808846761444,0.679
2025-10-31,india-west,storage,431.09,517.43,35.36,0.9592,8.0,0,54.97630331753554,0.683
2025-10-28,us-west,compute,1248.3,1280.0,145.03,0.9642000000000001,8.0,0,63.42812006319116,0.682
2024-10-31,us-east,compute,,1195.66,151.46,1.0,10.0,0,58.94154818325434,0.583
2025-09-03,india-south,compute,735.53,907.73,61.2,0.9723,14.0,0,51.27962085308057,0.667
2024-03-18,india-south,compute,942.12,1146.59,,0.9994,15.0,0,59.54186413902053,0.521
2025-05-05,us-east,storage,1853.73,1987.88,215.13,1.0,15.0,0,58.29383886255924,0.634
2025-06-10,us-east,storage,1813.68,1830.45,236.49,0.9690000000000001,-3.0,0,60.284360189573476,0.644
2025-08-28,india-south,compute,856.14,858.51,68.94,0.9956999999999999,-8.0,0,53.72827804107425,0.666
2024-07-28,india-south,storage,,392.57,28.07,0.9316,0.0,1,56.28751974723539,0.557
2024-07-18,us-west,storage,726.07,779.07,93.73,0.9845999999999999,-8.0,0,73.47551342812007,0.554
2024-05-26,us-west,compute,1103.63,1337.35,136.68,0.9961,4.0,1,55.43443917851501,0.54
2024-09-09,us-east,storage,1794.23,2158.75,228.51,0.983,2.0,0,47.53554502369668,0.569
2025-09-27,us-east,compute,1232.98,1204.93,143.42,0.9912000000000001,0.0,1,53.98104265402843,0.674
2025-11-23,us-west,compute,1082.11,1239.28,125.13,0.9577,7.0,1,50.426540284360186,0.689
2025-11-16,us-west,compute,1256.53,1566.42,146.71,1.0,15.0,1,62.95418641390206,0.687
2025-06-26,us-west,compute,1209.65,1342.85,144.19,0.9545999999999999,13.0,0,49.63665086887835,0.648
2025-06-02,India South,storage,695.69,661.87,87.32,0.9876,13.0,0,51.56398104265402,0.642
2024-03-15,us-west,storage,773.93,874.65,91.82,0.9665,-14.0,0,69.19431279620852,0.52
2025-03-01,us-east,storage,729.51,785.02,94.92,0.9558,5.0,1,53.90205371248025,0.616
2025-07-08,us-west,storage,911.77,895.37,113.14,0.9815999999999999,-2.0,0,55.181674565560826,0.652
2025-01-01,us-west,compute,,1369.17,172.49,1.0,-2.0,0,58.19905213270142,0.6
2025-07-26,us-west,compute,1108.74,1061.33,131.38,1.0,-4.0,1,63.744075829383895,0.656
2024-08-23,india-west,storage,517.95,502.68,45.35,0.9834,6.0,0,55.60821484992101,0.564
2024-06-14,us-east,compute,1260.16,1294.96,153.51,,18.0,0,58.4518167456556,0.545
2024-08-10,india-south,compute,774.36,824.67,67.72,0.9884000000000001,-3.0,1,53.72827804107425,0.561
2025-06-13,us-west,storage,779.38,805.34,93.1,0.9697,1.0,0,64.13902053712481,0.645
2024-10-12,us-west,compute,1065.54,1106.98,126.08,0.9534999999999999,19.0,1,60.86887835703001,0.578
2025-06-08,india-west,storage,409.82,471.49,34.52,0.9923000000000001,8.0,1,58.32543443917851,0.643
2025-05-09,us-west,compute,1168.27,1159.67,147.35,0.9501000000000001,,0,51.97472353870458,0.635
2024-02-04,us-east,compute,1154.31,1299.82,147.08,0.9593,3.0,1,56.398104265402836,0.509
2024-11-05,india-west,compute,738.88,723.41,57.51,0.9634,19.0,0,59.794628751974734,0.585
2024-08-07,india-south,compute,763.54,833.21,59.92,0.9453,1.0,0,47.12480252764611,0.56
2025-08-18,us-east,storage,973.55,951.35,122.68,0.9976999999999999,-8.0,0,67.58293838862559,0.663
2025-07-10,india-west,storage,710.95,749.97,59.37,0.9897,-16.0,0,53.27014218009478,0.652
2024-10-09,us-west,storage,647.31,698.29,81.3,1.0,5.0,0,43.96524486571879,0.577
2025-05-08,us-west,compute,1220.78,1411.96,142.25,0.9947,2.0,0,51.074249605055286,0.635
2025-08-02,us-west,compute,1030.98,1137.48,128.8,0.9693,,1,62.44865718799368,0.658
2025-06-07,us-east,storage,763.76,862.14,93.4,0.9519,-7.0,1,61.56398104265402,0.643
2024-11-07,us-east,storage,721.38,700.61,86.93,0.9829000000000001,5.0,0,53.5387045813586,0.585
2024-08-24,us-east,storage,684.3,853.84,80.97,0.9809,5.0,1,55.29225908372827,0.565
2024-10-25,us-west,compute,1163.29,1452.68,145.09,0.9934999999999999,12.0,0,54.028436018957336,0.582
2025-11-22,India South,storage,738.55,834.26,91.17,0.9597,,1,63.23854660347551,0.689
2024-06-02,us-west,compute,1001.34,1244.64,,0.9611,1.0,1,61.42180094786731,0.542
2024-09-19,us-east,compute,1336.9,1348.45,156.41,0.9751000000000001,10.0,0,57.33017377567141,0.572
2024-11-25,us-west,storage,704.94,743.0,88.78,1.0,3.0,0,59.87361769352291,0.59
2025-06-03,us-west,compute,1129.63,1406.13,137.92,0.9706,13.0,0,68.40442338072668,0.642
2025-09-11,india-west,compute,791.62,803.33,62.4,0.9881,-1.0,0,50.96366508688783,0.669
2025-07-31,india-south,compute,939.38,1150.56,82.39,0.988,12.0,0,53.71248025276461,0.658
2025-05-08,india-west,storage,539.87,577.77,44.41,0.9890000000000001,2.0,0,57.440758293838854,0.635
2025-09-02,us-west,compute,1327.5,1487.09,155.41,0.9868000000000001,-4.0,0,67.07740916271723,0.667
2024-10-19,us-east,storage,599.92,,70.82,,21.0,1,53.507109004739334,0.58
2024-09-03,india-south,storage,590.05,644.49,51.72,0.9523,0.0,0,61.45339652448658,0.567
2024-08-13,india-south,compute,797.56,848.79,62.44,0.996,4.0,0,50.67930489731437,0.562
2025-01-08,us-west,compute,1187.09,1406.35,155.28,1.0,,0,46.69826224328593,0.602
2024-07-10,india-west,compute,858.15,932.93,74.55,0.961,3.0,0,49.51026856240126,0.552
2024-04-09,us-east,compute,1143.3,1156.12,141.76,0.9944,19.0,0,55.11848341232226,0.527
2025-06-21,US-EAST,storage,,496.82,36.65,,,1,62.74881516587677,0.647
2024-09-22,us-east,compute,1121.28,,136.45,0.9990000000000001,,1,46.96682464454976,0.573
2024-03-01,us-west,compute,941.14,1112.67,117.57,0.97,10.0,0,45.03949447077409,0.516
2024-11-03,india-west,compute,687.67,816.29,58.72,0.9606,14.0,1,51.67456556082149,0.584
2024-12-07,us-west,storage,669.29,,81.41,0.9852,5.0,1,59.92101105845182,0.593
2025-07-23,us-east,storage,825.64,844.62,104.9,0.9843000000000001,3.0,0,51.59557661927331,0.656
2024-08-13,us-west,storage,738.32,741.04,92.99,0.9641,11.0,0,59.92101105845182,0.562
2024-05-28,india-west,storage,552.76,636.07,46.29,0.9803000000000001,8.0,0,55.3870458135861,0.54
2025-10-01,india-west,compute,599.81,652.7,51.91,0.9942,5.0,0,56.20853080568719,0.675
2024-05-19,us-west,compute,980.6,1033.11,112.1,,-5.0,1,54.691943127962084,0.538
2024-03-20,us-west,compute,1099.24,1223.53,134.69,0.9903,0.0,0,54.37598736176935,0.522
2025-08-10,india-west,storage,502.47,,,0.9773999999999999,19.0,1,44.31279620853079,0.661
2024-03-06,india-west,compute,842.71,1030.21,73.77,0.9698,-8.0,0,53.854660347551345,0.518
2025-04-12,us-west,compute,1039.94,1194.6,123.77,0.9569,-7.0,1,46.84044233807267,0.628
2025-07-12,us-west,storage,665.59,723.93,77.84,0.9656999999999999,-8.0,1,48.97314375987361,0.653
2025-12-11,us-west,storage,669.49,828.29,84.18,0.9829000000000001,,0,68.49921011058451,0.694
2025-11-05,us-east,compute,1405.47,1378.63,162.04,0.9834999999999999,-3.0,0,59.573459715639814,0.684
2025-12-03,india-south,compute,778.68,972.53,59.67,0.8575,8.0,0,48.499210110584514,0.692
2024-03-30,india-south,compute,758.23,749.91,58.31,,,1,65.1342812006319,0.524
2025-03-19,us-east,storage,866.94,875.9,101.62,0.9619,,0,50.44233807266983,0.621
2025-10-03,us-east,storage,,994.69,111.23,0.9776,12.0,0,60.20537124802527,0.675
2025-08-06,us-west,storage,799.91,832.85,96.68,0.9911,-3.0,0,58.54660347551342,0.66
2024-06-10,india-south,compute,756.69,804.28,63.06,0.9899,-1.0,0,42.432859399684034,0.544
2024-02-17,india-west,compute,640.2,756.3,52.79,0.9811,6.0,1,51.500789889415486,0.513
2025-01-31,india-west,compute,815.38,981.51,70.49,,,0,49.652448657187996,0.608
2024-04-16,US-EAST,compute,787.52,,66.9,0.9351,2.0,0,59.21011058451817,0.529
2025-09-26,us-west,compute,1180.16,1337.99,137.71,0.9443,-3.0,0,41.69036334913111,0.673
2024-11-10,india-south,compute,813.97,874.78,65.56,0.9642000000000001,6.0,1,54.31279620853081,0.586
2025-07-07,india-south,compute,930.66,1045.46,79.41,1.0,4.0,0,63.617693522906805,0.651
2024-08-17,india-west,compute,792.05,,63.65,0.9854999999999999,-11.0,1,67.77251184834124,0.563
2024-08-21,us-west,storage,580.06,553.34,,0.9934999999999999,16.0,0,52.11690363349132,0.564
2024-03-14,india-south,compute,856.24,1015.34,65.22,0.9752,9.0,0,60.53712480252766,0.52
2025-07-03,india-west,storage,428.12,,34.0,1.0,4.0,0,61.31121642969984,0.65
2024-05-29,us-west,storage,781.35,898.55,100.58,1.0,1.0,0,68.57819905213272,0.541
2025-12-28,india-south,storage,480.61,470.61,38.12,0.983,16.0,1,46.30331753554502,0.699
2025-07-20,india-west,storage,367.91,401.29,29.61,0.9348000000000001,12.0,1,66.66666666666666,0.655
2025-12-29,india-south,compute,822.39,998.66,62.92,0.9669,5.0,0,53.380726698262244,0.699
2024-08-19,us-west,compute,1111.15,1228.88,131.63,0.9767,-3.0,0,50.979462875197484,0.563
2024-11-20,us-west,compute,1200.2,1470.51,143.66,0.9742000000000001,2.0,0,50.979462875197484,0.589
2025-09-06,india-west,compute,622.16,759.42,50.19,0.9658,14.0,1,55.21327014218009,0.668
2025-07-15,india-south,compute,869.24,1029.77,70.21,0.9529000000000001,13.0,0,52.73301737756715,0.653
2025-09-01,india-west,storage,495.0,609.69,39.62,0.9688,-17.0,0,53.28593996840442,0.667
2024-07-27,india-west,storage,465.85,450.84,39.72,0.9671,-8.0,1,48.94154818325434,0.557
2024-01-07,us-west,compute,847.94,921.61,104.77,0.985,5.0,1,54.818325434439174,0.502
2025-03-02,india-south,compute,720.75,894.55,55.94,0.9867,11.0,1,60.50552922590836,0.617
2024-12-01,india-south,compute,800.45,918.19,66.03,1.0,-2.0,1,51.27962085308057,0.592
2024-07-06,us-east,compute,1204.81,1283.94,138.89,0.9668000000000001,-2.0,1,58.609794628751985,0.551
2025-05-11,india-west,storage,436.93,,34.39,0.9994,1.0,1,57.86729857819906,0.636
2025-04-01,us-west,storage,834.77,1007.62,107.42,0.9346,-10.0,0,56.30331753554502,0.625
2025-08-01,us-west,compute,1131.62,1284.29,140.48,0.9626,3.0,0,51.8167456556082,0.658
2024-02-14,india-west,storage,,521.73,37.76,0.9676,,0,54.78672985781991,0.512
2025-03-08,India South,compute,676.15,750.34,54.06,0.9765,10.0,1,54.84992101105844,0.618
2025-06-25,us-west,compute,1231.34,1283.6,151.61,1.0,5.0,0,57.91469194312798,0.648
2025-07-02,US-EAST,compute,745.82,834.36,58.49,0.9868000000000001,9.0,0,47.99368088467615,0.65
2024-11-09,india-west,storage,502.99,588.52,42.19,0.9715,16.0,1,51.84834123222749,0.586
2024-05-18,us-east,storage,667.74,691.3,77.73,0.9695,6.0,1,58.9257503949447,0.538
2024-06-02,india-south,storage,622.65,738.99,50.53,0.9608,-2.0,1,41.32701421800948,0.542
2024-08-23,india-south,compute,773.89,753.49,63.89,0.968,7.0,0,49.24170616113743,0.564
2024-05-08,us-east,storage,810.83,779.77,92.89,0.958,,0,59.90521327014218,0.535
2024-04-28,us-east,compute,1011.67,1219.75,127.49,0.998,,1,63.08056872037915,0.532
2025-03-19,india-west,storage,464.51,569.37,37.27,0.9849,1.0,0,49.77883096366509,0.621
2024-09-19,us-east,storage,889.65,1042.12,110.99,0.9752,-11.0,0,51.76935229067931,0.572
2025-12-11,us-west,compute,1273.91,1388.8,153.86,0.9595999999999999,6.0,0,57.78830963665086,0.694
2025-07-16,india-south,storage,443.57,,38.71,0.9286,0.0,0,57.06161137440758,0.654
2025-03-27,us-east,storage,883.46,1047.52,111.42,0.9869,-1.0,0,63.42812006319116,0.623
2024-02-26,us-west,storage,616.6,668.41,74.32,0.9803000000000001,1.0,0,59.62085308056872,0.515
2025-11-13,us-west,compute,1096.07,1159.56,143.44,0.9906,4.0,0,39.4470774091627,0.687
2025-02-27,india-south,compute,1032.24,1195.52,83.18,0.9974,2.0,0,56.22432859399684,0.616
2025-09-09,us-east,compute,1322.44,1611.21,167.78,1.0,16.0,0,56.17693522906792,0.669
2025-08-10,india-south,compute,844.0,957.86,67.54,0.9979,5.0,1,57.94628751974724,0.661
2024-01-03,india-south,compute,830.78,867.96,70.04,,12.0,0,52.60663507109003,0.501
2025-05-26,us-west,storage,670.7,744.14,86.36,0.9486,6.0,0,55.323854660347564,0.64
2024-11-08,us-west,compute,1180.33,1363.76,144.09,0.9893000000000001,4.0,0,49.68404423380726,0.585
2024-01-10,india-west,compute,646.98,646.43,50.84,0.9863,32.0,0,58.7045813586098,0.502
2024-07-15,us-west,compute,1162.83,1127.33,140.69,0.9718000000000001,0.0,0,60.6477093206951,0.554
